"ID","locale","RewardText","VerifiedBuild"
"9340","ruRU","Неплохо, $N. Это научит камнедеров держаться от нас подальше.","0"
"9391","ruRU","Глубокий Разлом все еще опасен, но, по крайней мере, там можно пройти.  Если бы Альянс не караулил все известные нам дороги, вряд ли бы мы решили на такое дело.","0"
"9406","ruRU","Ты уверена? Настоящие орки... Здесь, в Адском Пламени! Вот это новости, $N.  Надо немедленно доложить вождю.","0"
"9410","ruRU","Кто ты, незванный гость? Я приказал своим бойцам не трогать тебя только потому, что Рига учуяла рядом с тобой духов.  Говори, не бойся, но выбирай слова. Мы редко доверяем чужакам, особенно в такой близости от Цитадели.","0"
"9434","ruRU","Замечательно, все на месте. Осталось только перемешать и посмотреть, что выйдет. Если этот тоник сработает так, как я предполагаю, то, возможно, я смогу ослабить зависимость от магии у моего народа.  Смотри, $N, на твоих глазах вершится история! Подумать только – без твоей помощи у меня ничего бы не вышло!","0"
"9436","ruRU","Молодец. Вот что любопытно…  Надпись на этом тотеме сделана на языке, незнакомом троллям, зато хорошо известном нам. Она гласит, что носитель сего – союзник элементаля воды по имени Найас и достоин владеть его силой.  Неожиданно, но не так уж плохо, $N. Я бы хотел, чтобы ты помог мне и на следующем этапе.","0"
"9438","ruRU","Вы видите, что напряжение уходит с лица Тралла по мере того, как он читает донесение Назгрела    Мой народ... Мы должны отправиться к ним. Мы должны отпавиться в Награнд как можно скорее!","0"
"9442","ruRU","Горкан говорил хорошие вещи о тебе. Они оказались верны.  Спасибо за помощь.","0"
"9466","ruRU","Ты достойный, $C, $N. Эта тварь унесла жизни многих охотников.  Возьми награду, ты ее заслужил.","0"
"9525","ruRU","Ты скрасил мне день, $c. Когда я умру, я позабочусь о том, чтобы он был на поле битвы ... залит кровью моих противников и уничтожал их вместе со мной.","0"
"9845","ruRU","Мне не терпится поскорее вернуться к рыбалке! Наконец-то я принесу в город полное ведро рыбы! А то Гамбаринка меня уже засмеял.",
"9847","ruRU","<Вы рассказываете провидице Джаниди о том, что произошло, когда вы использовали тотем.>$B$BДух напал на тебя? Должно быть, он теснее связан с этими Заблудшими, чем я думала... Значит, его не удастся заставить служить мне, не применяя значительных усилий... Придется искать другой источник могущества!",
"9575","ruRU","Знаешь, что я ненавижу больше, чем ошибаться? Проигрывать деньги. Я поспорил, что ты не справишься с заданием, дорогуша.$b$bНеплохое начало. Смерть командиров внесет панику в их ряды. Обезвредив их артиллерию, мы получим достаточно времени, чтобы подобраться к самой цитадели.$B$BНо орков по-прежнему больше, чем может охватить глаз, так что жди нового задания.$B$BНо пока я тобой доволен. Можешь выбрать в оружейной, что захочешь.","0"
"9587","ruRU","Говоришь, на нем стоит подпись Иллидана? Дай-ка взглянуть.$B$B*Командир читает письмо, задумывается на минуту, затем снова его перечитывает.""$B$BЭто действительно зловещие новости. Мы должны как можно быстрее воплотить в жизнь наш план атаки на Цитадель Адского Пламени и Кузню Крови. Ты $gдоказал:доказала;, что отлично справляешься с работой, так что именно ты этим и займешься.$B$BГанни даст тебе новое задание, думаю, оно будет куда более смертоносным, чем предыдущее.$B$BДа хранит тебя Свет, $N!","0"
"9895","ruRU","Теперь, когда тебе довелось своими глазами повидать последствия нарушения природного равновесия, не забывай о них в своих скитаниях!","0"
"9903","ruRU","Я уверена, старина понимал, что ему скоро конец. Теперь все так переменилось, что старым обитателям болот осталось жить недолго. Оно и к лучшему, что старик теперь покоится в мире.",
"9904","ruRU","Ну, наконец-то! Говорят, у всякого великого рыболова непременно есть история о здоровенной твари, которая перекусила леску и уплыла, но лично я еще ни разу не встречала такой рыбы, которую бы я не сумела одолеть, так или иначе.",
"10087","ruRU","Так я и думал! Отсюда, конечно, было ничего не разглядеть, но могу представить, как оно взрывалось. Прелестно, просто прелестно!  Неплохая работенка, $N В Траллмаре будут рады слышать о твоих подвигах.","0"
"10162","ruRU","Ты летаешь так, будто занимался этим всю жизнь, $N Я восхищаюсь твоим умением! На вивернах ни царапины!","0"
"10277","ruRU","Надеюсь, теперь ты $gсоставил:составила себе представление о том, чего от тебя ожидают.","0"
"10279","ruRU","Мы должны подготовить тебя к грядущим сражениям...","0"
"10282","ruRU","То, чего мы больше всего боялись, может случиться уже очень скоро. Силы, которые вмешиваются в ход времени, – это новый клан драконов, что именуют себя драконами Бесконечности. Мы не знаем, откуда они появились и почему они разрушают наши линии времени.  На этом участке времени они похитили Тарету Фокстон, дочь Таммиса Фокстона. Он служит секретарем у Аделаса Блэкмура, правителя Дарнхольда и надзирателя лагерей для военнопленных в Азероте.","0"
"10284","ruRU","Тебе удалось совершить невозможное, $N. К сожалению, юный вождь этого не запомнит. В его памяти должны остаться только те события, которые случились бы, не будь искажения линии времени... Андорму ждет тебя в логове нашего господина.","0"
"10296","ruRU","На самом деле, если бы в Азерот не пришли орки, то никакого Альянса и не было бы. В конечном итоге началась бы гражданская война, которая ослабила бы человеческие королевства.  И Пылающий Легион захватил бы растерзанный междоусобицами беззащитный Азерот.","0"
"10297","ruRU","Ты отлично справился с заданием, $N. Юный Андорму снова желает с тобой говорить.","0"
"11129","ruRU","Отличная работа, $N! Как только Кайл наелся, он сразу вернулся домой и завалился спать. Спасибо за помощь.","0"
"11585","ruRU","Герой Орды, ты?  <Гаррош обнюхивает воздух вокруг вас.>  Страхом пахнет...  <Гаррош презрительно сплевывает.>  Ты долго не продержишься.","0"
"11587","ruRU","Молодец, $N! Кирин-Тор благосклонно принимает оказанную тобой помощь. Знай, что ни одна твоя услуга не останется без награды!  Прошу тебя, прими этот скромный дар в знак признательности Даларана.","0"
"11596","ruRU","Как раз вовремя... Нерубы, кажется, удвоились в числе буквально за неделю. Мы ни от чьей помощи не откажемся.","0"
"11598","ruRU","Тебе удалось замедлить их продвижение, но все равно скоро в битву вступит еще больше. Тебе случайно не удалось найти ни одной их кладки, пока ты был в карьере?","0"
"11605","ruRU","<Голос старейшины Атканока приветствует вас, когда вы приближаетесь к его статуе.>  Хорошо, $N. Зная имена блуждающих духов предков, мы можем продолжить ритуал, прерванный нападением на карьер. Однако прежде чем можно будет препроводить духи старейшин в их изваяния, нам нужно успокоить духи убитых скульпторов и шамана. Иначе духи предков могут вообще не услышать зова ритуала.","0"
"11606","ruRU","Если мои расчеты верны – что, впрочем, бывает не так уж часто – тебе понадобится от 10 до 20 глубинных сефориевых зарядов.  Да-да, ты установишь этих малюток прямо в их воронки!","0"
"11607","ruRU","Я чувствую, как смятение в мире духов мало-помалу затихает. Молодец, $N! Духам предков твоя помощь была как нельзя более кстати.","0"
"11609","ruRU","<Вы принесли предметы к статуе старейшины Атканока.>  Этого должно быть достаточно, хотя они и в жалком состоянии, увы! А ведь некоторые из них прослужили сотни лет – и все лишь затем, чтобы их терзали и трепали какие-то варвары!","0"
"11611","ruRU","Большинству из них удалось вернуться. По крайней мере, тем, у кого хватило ума сообразить, что мы внутри этих гигантских зданий из камня и металла…  Как бы там ни было, ты хорошо справился с работой. Я слышал, тебе удалось освободить немало батраков.  О да, ты теперь – первый парень на... ну... на крепости.","0"
"11612","ruRU","Теперь, когда охотники на магов знают, что народ Каскалы и союзники не сдадут карьер просто так, мы должны удвоить наши усилия и нанести им окончательное поражение.  Мои братья в Каскале сами подверглись нападению и не смогут оказать нам поддержку, но с твоей помощью, $N, мы сможем справиться с этими грабителями.","0"
"11613","ruRU","Ты $gоказал:оказала великую услугу моему народу, <имя>. Однако мне придется попросить тебя еще об одной...","0"
"11614","ruRU","Да, мертвее не бывает… Странно, что нерубы не сожрали труп.  После тщательного осмотра вы приходите к выводу, что это было самоубийство – Лютер отравился. Умно. К отравленному трупу нерубы на выстрел не подойдут.  В руке у Лютера зажат дневник...","0"
"11615","ruRU","<Бартус быстро перелистывает дневник к последней странице и начинает читать.>  Это очень плохие новости. Адский Крик должен быть немедленно извещен об этом.","0"
"11616","ruRU","Адский Крик читает записку.  Это все?","0"
"11617","ruRU","Охотники на магов поймут, что разорить наш карьер и разграбить наши артефакты не так просто, как они думали. С твоей помощью мы отвоюем карьер и все восстановим.","0"
"11620","ruRU","Хссссссссссссс! Ты $gявился:явилась, чтобы насмехаться надо мной, $c?","0"
"11625","ruRU","Хорошшшшшшо! Мы убъем квалдирских зверей! Я покажу этим мерзавцам, что не стоит заступать путь жрице чешуи!","0"
"11626","ruRU","Духи моих соплеменников могут наконец успокоиться. Ты $gпомог:помогла мне отомстить за отца... Может быть, однажды я тоже стану таким же сильным, как ты.","0"
"11634","ruRU","Привет! Я ждал тебя  <То'бор указывает на запад.>  Глянь-ка туда. Там, за тундрой – смерть. Смерть, понимаешь?","0"
"11643","ruRU","Отличная работа, дружище! Ммм, и куда ж я задевал запчасти-то...","0"
"11652","ruRU","Кел'Тузад? Так значит, это правда – Наксрамас возвращается…  Возможно, я недооценивал тебя, $N. Ты оказал Орде серьезную услугу. Вождь мог бы гордиться тобой!  <Гаррош ненадолго задумывается.>  Если этими отрядами Плети управляет Кел'Тузад, неизвестно, что еще готовит нам Король-лич. Мне нужно поразмыслить над этим, $N. Можешь идти.","0"
"11660","ruRU","Ты должен призвать Орабуса с помощью рога старого морехода.","0"
"11662","ruRU","Вальтор поступил мудро, прислав тебя ко мне, |3-6($R). Боги благосклонны к тем, кто восстанавливает справедливость. Ты станешь тем, кто накажет злодеев от нашего имени!","0"
"11676","ruRU","Каждый спасенный пленник – это одной аберрацией меньше, $N. Орда тебе многим обязана.","0"
"11686","ruRU","Все куда хуже, чем описано в дневнике Лютера! Порождения Плети здесь повсюду, они заражают все, к чему прикоснутся!  <Икорис кивает.>  Дело становится все хуже и хуже, хотя, казалось бы, хуже некуда…","0"
"11688","ruRU","Кажется, получилось, $R!","0"
"11690","ruRU","Ты настоящий герой, $N! Если бы не ты, мои кодо бы все перемерли. Я тебе признателен, как и все солдаты и путники, которым эти кодо пригодятся в Нордсколе!","0"
"11703","ruRU","<Гетри скептически осматривает вас.>  А получше у Икориса никого не нашлось?","0"
"11734","ruRU","Осквернить костер Альянса в Эшенвале","0"
"11923","ruRU","Ловить факелы - это очень весело, не так ли? Но будьте осторожны! Вы же не хотите обжечься.","0"
"12471","ruRU","Благодарю тебя, $N. Ты подлинный друг нашему клану.","0"
"13189","ruRU","Эртригг обязан жизнью этому паладину. Его должны были казнить в Стратхольме, когда лорд Фордринг пришел к нему на помощь.  Тирион Фордринг отдал все, чтобы спасти жизнь орка... лишь однажды я встречал человека, способного на такое самопожертвование.  <Тралл с трудом сдерживает слезы.>Я всегда буду помнить о тебе, Тарета...  А что касается тебя... Да. Я сделаю это во имя Тириона Фордринга и Эртригга. Орда станет союзником вашему ордену.  Мы служим кровью и честью во имя Орды!","0"
"24857","ruRU","Это вызывает тревогу! Но с этой информацией мы можем призвать наших собратьев из Деревни Кровавого Копыта, чтобы они помогли предотвратить атаку. Ты $gспас:спасла жизни многим $R, $N.","0"
